pubyear,new_work,stable,return_of_earlier_publisher,new_publisher_old_inactive,new_publisher
1787,1671.9999999999832,341.1182539682537,94.21637251637245,159.1166666666667,443.54870684870616
1788,1778.9999999999852,318.8601931401925,90.2288787236156,154.92222222222227,508.98870591396735
1789,1736.9999999999845,282.9816017316013,88.79604990737715,156.13283208020053,442.08951628081996
1790,2067.99999999999,346.4843191122603,128.89798714357545,229.38095238095255,656.2367413632132
1791,1831.9999999999914,310.6743958827546,167.6895021645024,215.83831168831182,625.7977902644308
1792,2183.9999999999977,367.66053490750244,169.24787817961177,278.6277777777781,697.4638091351109
1793,2310.0000000000064,370.3756090314905,145.5267050759699,222.9857142857142,749.1119716068262
1794,2473.0000000000164,395.7985042735033,119.04872620499565,203.88888888888914,852.2638806326134
1795,2661.000000000038,372.2225490196076,158.04422591941955,282.52698412698396,872.2062409339917
1796,2550.0000000000064,438.4683012226772,142.6554045606098,270.31483516483536,802.5614590518811
1797,2489.000000000017,356.4035880785873,117.69322605499082,229.9373949579836,741.9657909084399
1798,2935.0000000000587,390.9809163059156,120.69133611486562,229.77380952380955,666.5539380554094
1799,2785.0000000000427,387.66571859512993,84.53634184443003,271.4999999999999,712.2979395604405
1800,3699.0000000000664,438.51494110464625,150.27033368678119,546.7851190476192,864.4296061609571
